episode,attempt,safe_success,violated,contact,release,offset_x_m,offset_y_m,grasp_offset_x_m,grasp_offset_y_m,rotate_sign,grasp_yaw_sign,grasp_yaw_deg,close_sign,aperture_minus,aperture_plus,grasp_aperture,grasp_best_error_m,lift_delta_m,target_post_release_max_xy_displacement_m,target_final_tilt_metric_deg,target_final_linear_speed_m_s,target_final_angular_speed_rad_s,target_final_in_region,target_final_support_contact,target_final_stable_streak,reason,trajectory_path,video_path
0,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744550415341829,0.008386481281648268,0.053169688848447624,0.005055526787025312,0.10441487075305073,0.00047859656499148857,0.009628553388345666,2.5785033546172207e-12,1.235764065352249e-13,1,1,85,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state00-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state00-attempt00.mp4
1,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744549655883225,0.008386481000822028,0.05316971014943492,0.005649842518039,0.10441390781099671,0.0005685814606873005,0.009489305216449216,2.5813456009266777e-12,1.2634315352719958e-13,1,1,84,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state01-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state01-attempt00.mp4
2,0,0,0,1,0,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744547898188789,0.008386479360725594,0.05316968971363917,0.005604240711841847,0.10441482566124022,0.0,0.0,0.0,0.0,0,0,0,native_task_failure,,
2,1,0,1,1,1,0.0,-0.025,0.0,0.0,0.0,1.0,65.69775298338584,1.0,0.07744547898188789,0.008386479360725594,0.05622332167184071,0.005624366659798151,0.10430797722319485,0.0228850486194983,8.916317485308644,0.36187061451957847,5.2463518951609185,1,1,0,occupied_goal: released target xy displacement=0.0229m>0.0200m,,
2,2,0,1,1,1,0.0,-0.025,0.0,0.0,0.0,-1.0,65.70041545624613,1.0,0.07744547898188789,0.008386479360725594,0.05624680798268661,0.005594863097194964,0.10432009326355231,0.02452449428912967,14.784190360199105,0.1361382522840418,2.1454843989190073,1,1,0,occupied_goal: released target xy displacement=0.0245m>0.0200m,,
2,3,0,1,1,1,0.0,-0.025,0.025,0.0,0.0,0.0,0.0,1.0,0.07744547898188789,0.008386479360725594,0.05355453145264426,0.005942833089160246,0.10441163172562055,0.02548260741755521,10.064452232653139,0.38618788867858295,5.153670207733647,1,0,0,occupied_goal: released target xy displacement=0.0255m>0.0200m,,
2,4,0,0,1,1,0.0,-0.025,0.025,0.0,0.0,1.0,65.69775298338584,1.0,0.07744547898188789,0.008386479360725594,0.001843501232572162,0.029292242282543082,-0.004972957710390635,0.007490683170710615,3.201617386221747,1.5007674490357862e-10,1.919450898353276e-09,0,0,0,grasp_failed,,
2,5,0,0,1,1,0.0,-0.025,0.025,0.0,0.0,-1.0,65.70041545624613,1.0,0.07744547898188789,0.008386479360725594,0.0018352635975496102,0.03163864602403354,-0.004740158197052494,0.004282249052848595,0.2588030226365948,8.82296590396222e-12,5.348380081574274e-11,0,0,0,grasp_failed,,
2,6,0,1,1,1,0.0,-0.025,-0.025,0.0,0.0,0.0,0.0,1.0,0.07744547898188789,0.008386479360725594,0.053554581851795756,0.005896435322682654,0.10434701419497101,0.024666271913323934,7.730393562207259,0.3823161428373494,5.022465730498909,1,0,0,occupied_goal: released target xy displacement=0.0247m>0.0200m,,
2,7,0,0,1,1,0.0,-0.025,-0.025,0.0,0.0,1.0,65.69775298338584,1.0,0.07744547898188789,0.008386479360725594,0.001893951104953182,0.026145335355928518,-0.0008412865861152086,0.0003433415504371545,0.21444526951835047,3.561259740823046e-15,5.053010257221121e-14,0,0,0,grasp_failed,,
2,8,0,0,1,1,0.0,-0.025,-0.025,0.0,0.0,-1.0,65.70041545624613,1.0,0.07744547898188789,0.008386479360725594,0.0019039439234693986,0.02622046603121883,-0.0007472352730932136,7.404766395605095e-06,0.2713830213786791,3.98681340744886e-15,6.352148405080449e-14,0,0,0,grasp_failed,,
2,9,0,0,1,1,0.0,-0.025,0.0,0.025,0.0,0.0,0.0,1.0,0.07744547898188789,0.008386479360725594,0.0009997990512677513,0.03615263652953863,-0.0046562863190580395,0.005432167289140061,2.3597619559432483,7.464543450640719e-10,5.858869947803397e-09,0,0,0,grasp_failed,,
2,10,1,0,1,1,0.0,-0.025,0.0,0.025,0.0,1.0,65.69775298338584,1.0,0.07744547898188789,0.008386479360725594,0.0547568997764107,0.005330528987000852,0.10432721699604669,0.019446611873772043,2.3800313599801135,5.530039353875753e-12,6.223521735245784e-14,1,1,76,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state02-attempt10.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state02-attempt10.mp4
