condition,episode,occupant_pixels_t0,occupant_pixels_policy_start,anchor_pixels_t0,anchor_pixels_policy_start,target_pixels_t0,target_pixels_policy_start,occupant_in_goal_policy_start,world_drift_m,world_tilt_change_deg,relative_drift_m,relative_rotation_deg,gate_drift_m,gate_rotation_deg,anchor_excess_vs_eb_m,linear_speed_m_s,angular_speed_rad_s,final_world_linear_speed_m_s,final_world_angular_speed_rad_s,target_contact,robot_contact,support_contact_all_steps,collision_extent_x_m,collision_extent_y_m,collision_extent_z_m,visibility_ok,physics_ok,passed
eb,0,573,573,2374,2281,404,530,0,8.638922910364499e-16,0.0,0.03852548204791074,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,1,573,573,2341,2234,404,530,0,8.638922910364499e-16,0.0,0.038507487826530115,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,2,573,573,2411,2316,404,530,0,8.638922910364499e-16,0.0,0.038542875315036536,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,3,573,573,2410,2320,404,530,0,8.638922910364499e-16,0.0,0.03854984284431567,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.055548499778131e-15,3.628454673620168e-14,3.0525377706966073e-15,3.625192825673658e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,4,573,573,2446,2325,404,530,0,8.638922910364499e-16,0.0,0.03843784677010062,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,5,573,573,2429,2313,404,530,0,8.638922910364499e-16,0.0,0.03844303012691819,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,6,573,573,2341,2250,404,530,0,8.638922910364499e-16,0.0,0.03845013967476028,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,7,573,573,2452,2336,404,530,0,8.638922910364499e-16,0.0,0.038543439225048895,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,8,573,573,2394,2315,404,530,0,8.638922910364499e-16,0.0,0.03846106816367664,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,9,573,573,2454,2352,404,530,0,8.638922910364499e-16,0.0,0.038456085245905505,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,10,573,573,2369,2282,404,530,0,8.638922910364499e-16,0.0,0.038416536588899784,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,11,573,573,2413,2323,404,530,0,8.638922910364499e-16,0.0,0.03854562298642077,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,12,573,573,2448,2338,404,530,0,8.638922910364499e-16,0.0,0.0384718505483126,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,13,573,573,2408,2284,404,530,0,8.638922910364499e-16,0.0,0.03843544174738165,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,14,573,573,2408,2313,404,530,0,8.638922910364499e-16,0.0,0.03847777592799321,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,15,573,573,2349,2243,404,530,0,8.638922910364499e-16,0.0,0.03852849836407655,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.055548499778131e-15,3.628454673620168e-14,3.0525377706966073e-15,3.625192825673658e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,16,573,573,2434,2336,404,530,0,8.638922910364499e-16,0.0,0.038499353254716116,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
