episode_idx,eb_success,calibrated,attempts,invalid_candidates,candidate_held_hits,candidate_arm_hits,candidate_gripper_hits,path_step,risk_x,risk_y,held_object_contact,arm_contact,gripper_contact,tilt_deg,displacement_m,penetration_m
78,1,1,312,289,3,1,22,77,-0.08984281322930648,0.09727075377579843,1,0,0,50.99780006303726,0.036796036146149916,0.00018311794456403463
79,1,1,62,54,1,3,7,75,-0.018880071991326897,0.06700701035704862,1,0,0,50.52479300009464,0.021596816623844377,2.243907366757816e-05
80,1,0,400,389,0,0,11,,,,0,0,0,,,
81,1,0,400,365,0,7,29,,,,0,0,0,,,
82,1,0,400,365,2,32,20,,,,0,0,0,,,
83,1,1,122,96,2,8,25,76,-0.0002650168758598914,0.06640130892329615,1,0,0,50.20438393530968,0.01668258296711641,6.53344437293375e-05
84,1,0,400,371,3,1,28,,,,0,0,0,,,
85,1,1,379,374,1,3,3,118,-0.0036906931026447973,0.052719769802419894,1,0,0,45.920455544920095,0.015976248049583565,0.0002934518576241793
86,1,0,400,397,0,0,3,,,,0,0,0,,,
87,1,1,252,229,1,2,19,74,-0.09464874874392895,0.08274399474734694,1,0,0,46.97384306325432,0.03345887787520165,0.00026862445692910075
88,1,1,75,51,3,7,20,79,-0.015304337541715708,0.04736939049781149,1,0,0,51.59332292720119,0.021487403393710056,0.0001795277249024133
89,1,0,400,383,0,2,11,,,,0,0,0,,,
90,1,1,297,240,1,22,45,75,-0.02001126336909377,0.07578469612708848,1,0,0,52.535641942495175,0.01754279762843622,0.00025257979168109845
91,1,0,400,316,3,7,82,,,,0,0,0,,,
92,1,0,400,334,4,39,30,,,,0,0,0,,,
93,1,0,400,376,0,4,19,,,,0,0,0,,,
94,1,1,367,292,2,24,65,83,0.002252901871215629,0.06479123607229287,1,0,0,45.18744487980419,0.019168483540779574,4.2975673880734324e-05
95,1,1,241,228,1,0,12,75,-0.10936351870827343,0.0691813279680515,1,0,0,46.564600567501685,0.029214220966911286,0.00016011229485919654
96,0,0,0,0,0,0,0,,,,0,0,0,,,
97,1,1,346,268,3,15,70,74,-0.09092096672621441,0.08177523228386283,1,0,0,50.05918603936522,0.044953077569417285,0.00010419820536146374
98,1,0,400,310,0,39,86,,,,0,0,0,,,
99,1,1,3,0,1,1,2,81,-0.03120114385118733,0.025544079976227728,1,0,0,48.2009694455869,0.015874641476558773,0.0001957296207701978
100,1,1,377,313,1,19,48,76,0.019032791615915,0.09633210100877404,1,0,0,46.88742094363804,0.01628733613480975,0.00024543036803033325
101,1,1,1,0,1,0,0,80,-0.022865622324857914,0.05210367798435024,1,0,0,46.01243804766638,0.013590630519788744,0.00022587627151410272
102,1,1,290,212,3,27,71,83,0.0031486682987071427,0.06741597028205913,1,0,0,55.20122422117526,0.020918017727616606,1.1034591122370714e-06
103,1,1,9,3,2,2,4,83,-0.029926292422858585,0.03070781382188664,1,0,0,54.10355217480448,0.018607330666516573,5.2893635438985315e-05
104,1,1,382,334,1,4,43,76,-0.09750542639146352,0.09370627085101396,1,0,0,48.92808940160752,0.03389858738843713,0.0003377178609538997
105,1,1,192,175,2,3,11,73,-0.09276458323748031,0.07005955389789612,1,0,0,46.401199280125105,0.03178033442074154,0.0002856823050614715
106,1,0,400,329,0,34,60,,,,0,0,0,,,
107,1,1,361,300,1,17,53,74,-0.016536481484424374,0.08027456231163564,1,0,0,57.82145738600834,0.021686676451505155,9.650008330373307e-05
108,1,0,400,380,0,5,18,,,,0,0,0,,,
109,1,0,400,390,0,2,10,,,,0,0,0,,,
110,1,0,400,305,0,15,62,,,,0,0,0,,,
111,1,0,400,365,0,29,27,,,,0,0,0,,,
112,1,1,183,143,3,23,38,80,-0.014727481492545567,0.03360475434056032,1,0,0,45.05867825949917,0.03240057679243101,0.0001305874370106687
113,1,1,217,158,5,24,47,84,-0.011781617209992407,0.04273118025965331,1,0,0,45.3791530544762,0.016990921491925073,3.349931470587885e-06
114,1,1,241,219,2,0,21,70,-0.10783667301588012,0.0815643424352087,1,0,0,45.813507355816995,0.032519013995788076,2.9964936329729794e-05
115,1,1,262,240,1,3,20,76,-0.09192069410643222,0.08341913039325058,1,0,0,48.98129955544427,0.03496017136931988,0.0002877539900852169
116,1,0,400,353,0,10,43,,,,0,0,0,,,
117,1,0,400,395,0,3,5,,,,0,0,0,,,
118,1,1,246,220,2,2,24,75,-0.10184335651012505,0.08467307524648723,1,0,0,45.60338191916164,0.0376638326394375,0.00011077149115978208
119,1,0,400,334,0,25,61,,,,0,0,0,,,
120,1,1,182,160,3,2,20,73,-0.10333457821833494,0.08298347202764694,1,0,0,46.04993757288334,0.029166909005502287,0.00024031754370845704
121,1,1,122,94,2,11,26,85,-0.014676382384483228,0.037761868143168224,1,0,0,45.24799565103619,0.01637939413396614,9.064054916982562e-06
122,1,1,80,52,7,8,20,76,0.0008892592330076825,0.07343068135657575,1,0,0,45.267407064854645,0.014810216053639467,0.0001591677596905483
123,1,1,374,304,3,12,65,74,0.0023314531828260363,0.08828550364386648,1,0,0,50.019859403604116,0.017020879882517336,4.5377941074663166e-05
124,1,0,400,389,0,0,8,,,,0,0,0,,,
125,1,1,2,1,1,0,0,77,-0.018463577652763356,0.06839357320899826,1,0,0,52.55577604775293,0.01759544659566671,5.496083434366247e-05
126,1,1,246,237,3,1,7,74,-0.10808422679715278,0.07341536414918914,1,0,0,47.206203910284984,0.02221778920813466,8.29733135828952e-05
127,1,1,247,216,1,0,30,73,-0.10379274694293633,0.07249267396552041,1,0,0,48.0336804755909,0.03473749631690792,0.00022516743052580085
128,1,1,185,120,3,32,60,77,-0.00996380290586293,0.07676836698566918,1,0,0,48.00043727396843,0.015869050216382168,2.512285609437883e-06
129,1,1,13,12,1,0,0,74,-0.09300300148070198,0.0637493836929104,1,0,0,45.22399244331543,0.040259326473774504,0.0001236434454418775
130,0,0,0,0,0,0,0,,,,0,0,0,,,
131,1,1,251,248,1,2,2,75,-0.11140049312159045,0.08700860840755267,1,0,0,50.62559214340884,0.02798805521157218,0.00022794125450407293
132,1,1,241,235,1,0,5,73,-0.10570087727218772,0.07905870939109381,1,0,0,46.502721868120545,0.03654532348844082,5.509595796337386e-05
133,1,0,400,312,0,20,65,,,,0,0,0,,,
134,1,0,400,396,0,1,3,,,,0,0,0,,,
135,1,1,201,174,2,1,26,75,-0.08090027133194931,0.08428165306092311,1,0,0,47.20898821988466,0.03933604407466979,0.00018096888361891772
136,1,1,94,61,1,15,25,79,-0.007961916542385955,0.08994494734798093,1,0,0,51.264287445348494,0.016856177747409114,0.00019131227298215675
137,1,0,400,396,0,1,2,,,,0,0,0,,,
138,1,1,181,166,4,4,9,74,-0.11174737180433544,0.0701401623518346,1,0,0,45.01275162927421,0.029368289478720503,0.00023202006179236237
139,1,1,1,0,1,0,0,85,-0.017548050870885755,0.05232655789178784,1,0,0,48.86192462420228,0.01620939883929864,0.00022188461578619622
140,1,1,127,107,2,5,15,78,-0.018277269330210455,0.045348935969907,1,0,0,48.360275374017704,0.014380893010191966,0.00018689383162503407
141,0,0,0,0,0,0,0,,,,0,0,0,,,
142,1,0,400,383,0,0,17,,,,0,0,0,,,
143,0,0,0,0,0,0,0,,,,0,0,0,,,
144,1,0,400,377,2,3,18,,,,0,0,0,,,
145,1,1,262,246,2,0,15,75,-0.0972305247681562,0.08435265522675706,1,0,0,47.397767708861046,0.040218236511464084,0.00020303225809063796
146,1,0,400,345,0,10,53,,,,0,0,0,,,
147,1,1,2,0,1,0,0,79,-0.014220341240556978,0.07304312709140459,1,0,0,48.60514299263994,0.016091571221851036,0.00027058087930986003
148,1,1,253,196,2,7,48,79,-0.023584060298949196,0.032012802130935,1,0,0,46.97695069353055,0.018669676381989624,9.180615408668221e-05
149,1,1,247,215,3,8,27,75,-0.003392446271198085,0.0692256307143434,1,0,0,49.00281889433499,0.021928956751669594,6.884070566240538e-06
150,1,0,400,289,0,44,76,,,,0,0,0,,,
151,1,1,1,0,1,0,0,81,-0.0075109628539335276,0.06546275724957053,1,0,0,47.25549016349911,0.015642435308857706,6.632779705483612e-05
152,1,1,386,321,4,13,63,81,-0.10434242494297832,0.08069386012415809,1,0,0,46.83367201628101,0.038125237289364025,0.00016958863632221544
153,1,1,361,325,2,3,34,74,-0.09956734692077876,0.09967125686664835,1,0,0,47.06453974200473,0.03524497503705792,0.0002180936740686923
154,1,0,400,311,0,16,80,,,,0,0,0,,,
155,1,1,74,62,3,5,11,75,0.0060872258480652724,0.07151749524801673,1,0,0,50.960252164187516,0.016919958410364276,3.8798415534597586e-05
156,1,1,97,71,3,10,20,78,-0.03234003242041246,0.03709258056194801,1,0,0,59.65615225228702,0.020329112938416712,0.00025366170098425553
157,1,1,4,0,1,0,0,82,-0.02816002876623832,0.017594774868436077,1,0,0,49.08232930157955,0.017620420947501186,0.0002015540727608727
158,1,0,400,301,0,22,96,,,,0,0,0,,,
159,1,0,400,396,0,0,3,,,,0,0,0,,,
160,1,1,301,282,1,1,18,74,-0.10770685180582842,0.07797253884708062,1,0,0,49.13777776674928,0.04600729743239306,0.00020344361419331186
161,1,1,73,56,1,8,15,77,-0.02125727090029776,0.04391830219931736,1,0,0,50.35788138869399,0.01830000288685074,8.339561256114212e-05
162,1,0,400,337,0,23,60,,,,0,0,0,,,
163,1,1,61,36,2,10,23,75,-0.011873648628056382,0.06612183381360608,1,0,0,46.52724320490011,0.015339474757293818,0.00014625319842584696
164,1,0,400,394,0,0,5,,,,0,0,0,,,
165,1,0,400,298,0,22,92,,,,0,0,0,,,
166,1,1,262,250,2,5,5,76,-0.11303633553828837,0.09170629423828597,1,0,0,45.27882658493187,0.03079418654832969,0.00027661770893843557
167,1,1,82,51,3,17,26,87,-0.01690574185561039,0.027429365652303236,1,0,0,46.60034384298565,0.0236592549656968,0.00011482752084958974
168,1,0,400,397,0,0,0,,,,0,0,0,,,
169,0,0,0,0,0,0,0,,,,0,0,0,,,
170,1,0,400,323,1,14,74,,,,0,0,0,,,
171,0,0,0,0,0,0,0,,,,0,0,0,,,
172,1,1,146,112,4,17,30,76,-0.011906718512368315,0.06849718617554369,1,0,0,47.68838891915109,0.015502899337411362,0.00019503749128144815
173,1,1,309,236,1,18,44,74,-0.00709729896099703,0.09716940283938855,1,0,0,47.78961005415993,0.015358987968245245,0.00022843835395521678
174,1,1,256,244,2,5,9,75,-0.02602086150053061,0.05160192520113724,1,0,0,48.8236933593676,0.01705760758774445,7.819448759881029e-05
175,1,0,400,293,0,19,86,,,,0,0,0,,,
176,1,0,400,303,0,12,84,,,,0,0,0,,,
177,1,1,289,261,1,5,22,73,-0.11387898044766195,0.08023094272929751,1,0,0,45.29545881592973,0.03288575473703441,0.00028658869875797244
178,1,1,219,197,2,8,18,71,-0.0013073884930964938,0.08235428294319422,1,0,0,45.23858024327945,0.015462264456118835,0.00020104707629783197
179,1,0,400,380,0,3,19,,,,0,0,0,,,
180,0,0,0,0,0,0,0,,,,0,0,0,,,
181,1,0,400,369,0,5,13,,,,0,0,0,,,
182,1,1,301,235,4,22,63,76,-0.006083052971824446,0.06420283407217539,1,0,0,49.87431454019332,0.018525173644744427,2.8256055544711133e-05
183,1,1,217,170,1,29,42,74,-0.016137809711475937,0.06140661708364105,1,0,0,54.11648183861286,0.022575429568775365,3.808487420055382e-05
184,1,1,302,253,1,2,47,76,-0.08850003641749436,0.10119407551339596,1,0,0,49.289225785180136,0.03407529674975199,0.0003316292654858208
185,1,0,400,362,0,0,36,,,,0,0,0,,,
186,1,1,302,269,3,2,27,75,-0.09502284248642356,0.07903939960937821,1,0,0,48.37948643685447,0.026188225641507728,0.00028982636359421027
187,1,0,400,395,0,3,4,,,,0,0,0,,,
188,1,1,85,54,1,19,28,80,-0.00804144310877504,0.05860810307484184,1,0,0,49.09831273101412,0.019653292671753995,0.0003191554092311466
189,1,0,400,278,2,29,78,,,,0,0,0,,,
190,1,0,400,342,0,7,58,,,,0,0,0,,,
191,1,1,301,277,1,0,22,74,-0.10393889494012606,0.08140183084461222,1,0,0,48.93828103632034,0.0388131120274405,0.00015968629351882646
192,1,0,400,288,0,36,61,,,,0,0,0,,,
193,1,1,122,96,3,7,25,76,-0.000998262478029699,0.05900272780298514,1,0,0,45.811532504592996,0.01524874886749597,0.00017228792502722818
