episode,attempt,eb_trajectory,safe_success,native_success,violated,prefix_steps,prefix_lift_m,handoff_xy_distance_m,offset_x_m,offset_y_m,rotate_sign,preplace_target_tilt_deg,release,occupant_displacement_m,occupant_tilt_change_deg,target_post_release_xy_displacement_m,target_region_horizontal_margin_m,target_tilt_deg,target_final_linear_speed_mps,target_final_angular_speed_radps,reason
0,0,taskbddl_ep000.npz,1,1,0,76,0.04412360253341707,0.09661839342257236,0.07,0.03,-1.0,80.1910053305881,1,0.00227016959965011,7.802024827670617,0.0013718223441155648,0.009873707645496638,90.0064587004993,0.0045687687401660005,0.097143688115054,
1,0,taskbddl_ep001.npz,1,1,0,74,0.037736936857649006,0.09892460039742353,0.07,0.03,-1.0,81.51526015132595,1,9.963814729811359e-07,0.0022625945591137177,2.7234045657958243e-05,0.01736401040185845,90.00011591876124,3.6148904521189594e-13,6.745466887213563e-13,
2,0,taskbddl_ep002.npz,1,1,0,69,0.0324433450037811,0.09580955293599613,0.07,0.03,-1.0,81.46753254133355,1,0.004529309387117505,7.341926719506113,0.0036546918414113584,0.0210022808545738,90.00011591876637,6.542257586450417e-13,1.2489373832099995e-13,
3,0,taskbddl_ep003.npz,1,1,0,80,0.03456461340268646,0.09600526723966593,0.07,0.03,-1.0,80.08513987353363,1,0.006533330130224091,11.142756072241687,3.741251176904536e-05,0.012296268974507807,90.00011592299472,4.056107494697593e-07,1.0679491145417577e-05,
4,0,taskbddl_ep004.npz,1,1,0,77,0.044076980613257044,0.09232240456758806,0.07,0.03,-1.0,81.26085675993359,1,9.779033423449656e-07,0.002220262292776362,7.1636101718211816e-06,0.010270837611631417,90.00011591876125,3.831216416853648e-13,2.379400445642216e-14,
5,0,taskbddl_ep005.npz,1,1,0,73,0.051875260479543384,0.09769373684723269,0.07,0.03,-1.0,81.23965955695704,1,0.006851599391231056,9.259789235697333,0.002021146208350255,0.014050539301506876,90.00020131075138,1.3773007203169737e-06,5.965186213549182e-05,
6,0,taskbddl_ep006.npz,1,1,0,78,0.06670897428696687,0.09864249221730201,0.07,0.03,-1.0,80.5129672815912,1,0.00403728549884473,6.883771435664025,0.0013495086354257347,0.013458429695343416,90.00021540297067,9.993465394906382e-07,4.8903339677216865e-05,
7,0,taskbddl_ep007.npz,1,1,0,76,0.03414979291903508,0.09608192344738942,0.07,0.03,-1.0,81.28438491735197,1,1.0021840973444037e-06,0.0022755936364929966,1.1530366438683581e-06,0.013410973203929755,90.00011591876128,3.82713474099753e-13,4.8477445459257994e-15,
