episode,attempt,grasp_offset_x_m,grasp_offset_y_m,grasp_verified,grasp_lift_m,safe_success,task_success,native_task_success,place_xy_offset_m,place_bottom_gap_m,place_xy_sanity_ok,occluder_displacement_m,occluder_stable,reason,failure_stage,failure_initial_error_m,failure_best_error_m,failure_final_error_m,gripper_close_sign,gripper_open_sign,gripper_aperture_after_minus,gripper_aperture_after_plus,steps,video_path
29,7,0.0,0.04463558091184267,1,0.13870147668551602,1,True,True,0.07159893619903253,-0.09693490486934153,False,2.8408134422314303e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,602,
30,0,0.0,0.04463558091184267,1,0.13867313209010612,1,True,True,0.06797490543179911,-0.09693490486934131,False,2.8408134422654404e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,598,
31,0,0.0,0.04463558091184267,1,0.136436903676325,1,True,True,0.06259604468700676,-0.09693490486934153,False,2.8408134422479017e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,610,
32,0,0.0,0.04463558091184267,1,0.13956629292655476,1,True,True,0.06527801595375728,-0.09693490486934131,False,2.8408134421651805e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,629,
33,4,0.0,0.033476685683882,1,0.13986872029734043,1,True,True,0.06617631596514967,-0.09693490486934153,False,2.840813442215573e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,602,
34,7,0.0,0.04463558091184267,1,0.13935681002003808,1,True,True,0.07027693979090441,-0.09693490486934131,False,2.8408134422423753e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,605,
35,0,0.0,0.04463558091184267,1,0.13949909511575165,1,True,True,0.07019577669469947,-0.09693490486934153,False,2.840813442197575e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,610,
36,0,0.0,0.04463558091184267,1,0.13947863064016264,1,True,True,0.06831337616446125,-0.09693490486934131,False,2.8408134422654404e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,616,
37,0,0.0,0.04463558091184267,1,0.13949993019895224,1,True,True,0.07093201513475507,-0.09693490486934131,False,2.8408134422428344e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,590,
38,4,0.0,0.033476685683882,1,0.14043736217007263,1,True,True,0.0693617461812128,-0.09693490486934153,False,2.8408134422034294e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,607,
39,7,0.0,0.04463558091184267,1,0.13950634694634167,1,True,True,0.07093891696139186,-0.09693490486934153,False,2.8408134422375703e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,608,
40,0,0.0,0.04463558091184267,1,0.1394254511771299,1,True,True,0.06880201182935598,-0.09693490486934109,False,2.8408134422428344e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,631,
41,0,0.0,0.04463558091184267,1,0.13977898409736234,1,True,True,0.06537939605838261,-0.09693490486934153,False,2.8408134422699412e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,626,
42,4,0.0,0.033476685683882,1,0.14041410879258864,1,True,True,0.0648240061270475,-0.09693490486934153,False,2.8408134421930326e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,596,
43,7,0.0,0.04463558091184267,1,0.13970168132931648,1,True,True,0.07173376411114252,-0.09693490486934153,False,2.8408134422314303e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,611,
44,0,0.0,0.04463558091184267,1,0.1394951812963644,1,True,True,0.07012355399682543,-0.09693490486934131,False,2.840813442204675e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,596,
45,0,0.0,0.04463558091184267,1,0.13959723873212548,1,True,True,0.06813170141163784,-0.09693490486934131,False,2.8408134422869557e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,618,
46,4,0.0,0.033476685683882,1,0.1404496200349733,1,True,True,0.06171810019115414,-0.09693490486934131,False,2.84081344220985e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,631,
47,0,0.0,0.033476685683882,1,0.1286129552607801,1,True,True,0.06765426604892125,-0.09693490486934131,False,2.8408134422252067e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,597,
48,7,0.0,0.04463558091184267,1,0.13597984585785017,0,False,False,0.027411015862072386,0.038661085252220895,True,0.0018046471766206757,1,episode_horizon,environment_horizon,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,1001,
49,0,0.0,0.033476685683882,1,0.14044408181462187,1,True,True,0.061114245236742464,-0.09693490486934153,False,2.8408134422586265e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,619,
