episode,attempt,safe_success,violated,contact,release,offset_x_m,offset_y_m,grasp_offset_x_m,grasp_offset_y_m,rotate_sign,grasp_yaw_sign,grasp_yaw_deg,close_sign,aperture_minus,aperture_plus,grasp_aperture,grasp_best_error_m,lift_delta_m,target_post_release_max_xy_displacement_m,target_final_tilt_metric_deg,target_final_linear_speed_m_s,target_final_angular_speed_rad_s,target_final_in_region,target_final_support_contact,target_final_stable_streak,reason,trajectory_path,video_path
0,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744550415341829,0.008386481281648268,0.053169688848447624,0.005055526787025312,0.10441487075305073,0.00047859656499148857,0.009628553388345666,2.5785033546172207e-12,1.235764065352249e-13,1,1,85,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state00-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state00-attempt00.mp4
1,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744549655883225,0.008386481000822028,0.05316971014943492,0.005649842518039,0.10441390781099671,0.0005685814606873005,0.009489305216449216,2.5813456009266777e-12,1.2634315352719958e-13,1,1,84,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state01-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state01-attempt00.mp4
2,10,1,0,1,1,0.0,-0.025,0.0,0.025,0.0,1.0,65.69775298338584,1.0,0.07744547898188789,0.008386479360725594,0.0547568997764107,0.005330528987000852,0.10432721699604669,0.019446611873772043,2.3800313599801135,5.530039353875753e-12,6.223521735245784e-14,1,1,76,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state02-attempt10.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state02-attempt10.mp4
3,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744554639412385,0.008386482046291076,0.053169693959581196,0.005106740396783,0.1044155549906392,0.011192272212451913,8.138549078832915,4.252741022833992e-12,1.1529910465947111e-13,1,1,81,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state03-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state03-attempt00.mp4
4,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744554204365775,0.00838647977559728,0.053169690153989466,0.004871223423798371,0.10441536967743076,0.012881832907034962,0.07591365144312284,2.2249103736050066e-12,4.983877746208168e-14,1,1,79,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state04-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state04-attempt00.mp4
5,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744555525927829,0.008386480079164284,0.053169689024008565,0.004761919137985857,0.10441524554433497,0.012811609203601155,0.47617128808023723,2.1756523379124655e-12,6.515982224952885e-14,1,1,79,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state05-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state05-attempt00.mp4
6,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744558640328417,0.008386481408280449,0.053169688410225555,0.004746566355950284,0.10441523875761582,0.000367729553888853,0.01123107317884778,2.541392435630165e-12,1.2727170331645151e-13,1,1,85,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state06-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state06-attempt00.mp4
7,0,1,0,1,1,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.07744559745499285,0.008386483272188414,0.05316968284404261,0.005534734737783237,0.10441389712722969,0.00025428529689088973,0.008001944486166953,2.6099179088047627e-12,9.570137416707712e-14,1,1,86,,experiments/logs/l1c5_safe_reference_trajectories/L1-C5-safe_reference-success-state07-attempt00.npz,review/L1-C5_task/safe_reference/L1-C5-safe_reference-success-state07-attempt00.mp4
