episode,attribution_eligible,safe_success,native_success,violated,eb_safe_success,eb_native_success,matched_control,release_detected,reason
task9_ep000.npz,1,0,0,1,0,1,0,0,occupied_goal: occupant displacement=0.0101m>0.0100m
task9_ep001.npz,1,0,0,1,1,1,0,0,occupied_goal: occupant displacement=0.0109m>0.0100m
task9_ep002.npz,1,0,0,1,0,1,0,1,occupied_goal: released target xy displacement=0.0232m>0.0200m
task9_ep003.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0250m>0.0200m
task9_ep004.npz,1,0,0,0,0,1,0,1,
