episode,offset_x_m,offset_y_m,safe_success,native_success,occupant_displacement_m,occupant_tilt_change_deg,target_occupant_clearance_m,target_tilt_deg,target_tilt_metric_deg,target_post_release_max_xy_displacement_m,target_final_linear_speed_m_s,target_final_angular_speed_rad_s,target_final_in_anchor,target_final_support_contact,target_final_stable_streak
0,0.0,0.0,0,1,0.014581133380618522,14.849872732717404,0.05815453242894288,90.00000552989717,0.02400825008121112,0.0425182874645071,7.744554072326035e-12,1.2014214316684335e-13,1,1,171
0,0.0,-0.025,1,1,5.523366696831507e-05,0.04278911189332579,0.060006698588179634,90.00000543048047,5.663293681020318e-06,1.8073017975436873e-06,2.8310605731683044e-12,3.7596026172282004e-14,1,1,177
0,0.025,-0.02,1,1,5.523366696831507e-05,0.04278911189332579,0.060423178698858576,90.00092796381222,0.0009336638442280069,4.641422039411565e-06,9.85923432164437e-12,1.3983938364801988e-13,1,1,177
0,-0.025,-0.02,1,1,5.523366696831507e-05,0.04278911189332579,0.0604199870513439,89.99908289709217,0.0009229115409400667,4.68899739144206e-06,9.735680068530317e-12,1.31379553955439e-13,1,1,177
0,0.0,-0.035,1,1,5.523366696831507e-05,0.04278911189332579,0.07000709348758531,90.00000543047331,6.331754823653221e-06,3.43076777362172e-06,6.312568120437498e-12,5.564397152521506e-14,1,1,177
1,0.0,0.0,0,1,0.014581133381706102,14.849872732296653,0.05815453251457692,90.00000552989715,0.024008250035668678,0.042518287466047106,7.741920615467724e-12,7.975677139551282e-14,1,1,171
1,0.0,-0.025,1,1,5.5233666966853604e-05,0.04278911201257357,0.06000669858817952,90.00000543048043,6.331754823653221e-06,1.8073017974882392e-06,2.8330342488489306e-12,6.531467152419921e-14,1,1,177
1,0.025,-0.02,1,1,5.5233666966853604e-05,0.04278911201257357,0.060423178698853705,90.00092796381223,0.0009336626731482323,4.641422039447754e-06,9.86008535470786e-12,1.4530535374778227e-13,1,1,177
1,-0.025,-0.02,1,1,5.5233666966853604e-05,0.04278911201257357,0.060419987051346886,89.99908289709218,0.000922909961308584,4.688997391361724e-06,9.735645820770491e-12,1.357783580983823e-13,1,1,177
1,0.0,-0.035,1,1,5.5233666966853604e-05,0.04278911201257357,0.070007093487585,90.00000543047332,6.2155659652833185e-06,3.4307677736217325e-06,6.313333961723423e-12,5.290158409722981e-14,1,1,177
2,0.0,0.0,0,1,0.014581133382193787,14.849872732234008,0.058154532583708944,90.00000552989714,0.024008249974945432,0.042518287467254515,7.742519759689007e-12,9.076331749782892e-14,1,1,171
2,0.0,-0.025,1,1,5.5233666968263745e-05,0.04278911192739659,0.06000669858817006,90.00000543048041,6.331754823653221e-06,1.8073017976265402e-06,2.8322663788417066e-12,4.785961940419825e-14,1,1,177
2,0.025,-0.02,1,1,5.5233666968263745e-05,0.04278911192739659,0.060423178698852595,90.0009279638123,0.0009336583791764915,4.641422039358223e-06,9.858755292270499e-12,1.3272817522676508e-13,1,1,177
2,-0.025,-0.02,1,1,5.5233666968263745e-05,0.04278911192739659,0.06041998705132958,89.99908289709208,0.0009229166747237133,4.688997391473903e-06,9.735282402773553e-12,1.3288958004410823e-13,1,1,177
2,0.0,-0.035,1,1,5.5233666968263745e-05,0.04278911192739659,0.07000709348757479,90.0000054304734,5.533085616490783e-06,3.4307677736493864e-06,6.313597985324894e-12,5.71152186988266e-14,1,1,177
3,0.0,0.0,0,1,0.014581133381003556,14.849872732645428,0.058154532455410454,90.0000055298971,0.024008250187476803,0.042518287463883045,7.74236533054676e-12,8.226114918837238e-14,1,1,171
3,0.0,-0.025,1,1,5.5233666969425935e-05,0.04278911199553818,0.06000669858818294,90.00000543048048,5.533085616490783e-06,1.8073017975434086e-06,2.8327591772743626e-12,5.628166014388344e-14,1,1,177
3,0.025,-0.02,1,1,5.5233666969425935e-05,0.04278911199553818,0.06042317869886032,90.00092796381232,0.0009336575984522351,4.64142203950077e-06,9.859511053839402e-12,1.4006848781800098e-13,1,1,177
3,-0.025,-0.02,1,1,5.5233666969425935e-05,0.04278911199553818,0.06041998705134808,89.99908289709211,0.0009229147001949211,4.688997391397868e-06,9.735397672197444e-12,1.3534395894767177e-13,1,1,177
3,0.0,-0.035,1,1,5.5233666969425935e-05,0.04278911199553818,0.07000709348758859,90.00000543047337,5.915117333884394e-06,3.4307677736771687e-06,6.314356415067304e-12,7.02380849982119e-14,1,1,177
4,0.0,0.0,0,1,0.014581133380791953,14.849872732572852,0.05815453239462261,90.00000552989708,0.024008250217838426,0.04251828746375611,7.743318679249704e-12,1.1143895000505406e-13,1,1,171
4,0.0,-0.025,1,1,5.523366696791605e-05,0.04278911194443198,0.060006698588175915,90.00000543048051,5.399738656763835e-06,1.8073017976544906e-06,2.8334172235064453e-12,6.987227188659543e-14,1,1,177
