episode,offset_x_m,offset_y_m,safe_success,native_success,occupant_displacement_m,occupant_tilt_change_deg,target_occupant_clearance_m,target_tilt_deg,target_tilt_metric_deg,target_post_release_max_xy_displacement_m,target_final_linear_speed_m_s,target_final_angular_speed_rad_s,target_final_in_anchor,target_final_support_contact,target_final_stable_streak
4,0.025,-0.02,1,1,5.523366696791605e-05,0.04278911194443198,0.06042317869885695,90.00092796381227,0.0009336603309842762,4.641422039360433e-06,9.859089641886735e-12,1.3634337699356935e-13,1,1,177
4,-0.025,-0.02,1,1,5.523366696791605e-05,0.04278911194443198,0.06041998705133911,89.99908289709215,0.0009229131205688458,4.688997391449761e-06,9.735680890582183e-12,1.3137276890387403e-13,1,1,177
4,0.0,-0.035,1,1,5.523366696791605e-05,0.04278911194443198,0.07000709348758209,90.00000543047338,5.7905745997743736e-06,3.430767773677297e-06,6.3128441117881605e-12,5.315534234887955e-14,1,1,177
5,0.0,0.0,0,1,0.014581133381353101,14.849872732531505,0.058154532492189694,90.00000552989704,0.024008250217838426,0.04251828746442436,7.744178508334937e-12,1.2195572970672824e-13,1,1,171
5,0.0,-0.025,1,1,5.5233666969892914e-05,0.042789111961467376,0.06000669858817075,90.00000543048041,6.273929367455621e-06,1.8073017975437891e-06,2.8334450925926414e-12,5.976917128558963e-14,1,1,177
5,0.025,-0.02,1,1,5.5233666969892914e-05,0.042789111961467376,0.06042317869885608,90.0009279638122,0.0009336646249470408,4.641422039453363e-06,9.85807937975176e-12,1.2794627049961916e-13,1,1,177
5,-0.025,-0.02,1,1,5.5233666969892914e-05,0.042789111961467376,0.06041998705133148,89.9990828970922,0.0009229091714918291,4.688997391428809e-06,9.735283038466557e-12,1.328556022500565e-13,1,1,177
5,0.0,-0.035,1,1,5.5233666969892914e-05,0.042789111961467376,0.07000709348757668,90.0000054304734,5.598568198963992e-06,3.4307677736217215e-06,6.3129154323746245e-12,5.424818754647277e-14,1,1,177
6,0.0,0.0,0,1,0.014581133380483453,14.849872732627261,0.05815453242142378,90.00000552989705,0.024008250324104106,0.04251828746502222,7.744071531069859e-12,1.1915428790307546e-13,1,1,171
6,0.0,-0.025,1,1,5.5233666969055246e-05,0.042789111859255,0.060006698588187406,90.00000543048041,6.273929367455621e-06,1.807301797515551e-06,2.8327551817057874e-12,5.5933913094253294e-14,1,1,177
6,0.025,-0.02,1,1,5.5233666969055246e-05,0.042789111859255,0.06042317869886124,90.00092796381232,0.0009336650153063128,4.641422039341233e-06,9.86041058942348e-12,1.4895290744381325e-13,1,1,177
6,-0.025,-0.02,1,1,5.5233666969055246e-05,0.042789111859255,0.06041998705135411,89.99908289709218,0.0009229107511246633,4.68899739138212e-06,9.735712249329653e-12,1.3146558421122947e-13,1,1,177
6,0.0,-0.035,1,1,5.5233666969055246e-05,0.042789111859255,0.0700070934875928,90.00000543047334,6.156649318399953e-06,3.430767773593831e-06,6.311823457250267e-12,4.541594074789166e-14,1,1,177
7,0.0,0.0,0,1,0.0145811333809943,14.849872732379056,0.058154532422429815,90.00000552989704,0.024008250339284918,0.0425182874652563,7.744324995681582e-12,1.2394663328723898e-13,1,1,171
7,0.0,-0.025,1,1,5.523366696859663e-05,0.04278911225106913,0.06000669858817414,90.00000543048046,6.037091348628669e-06,1.807301797459859e-06,2.8331056791203156e-12,6.499909218823825e-14,1,1,177
7,0.025,-0.02,1,1,5.523366696859663e-05,0.04278911225106913,0.06042317869885377,90.00092796381233,0.0009336568177273258,4.641422039477148e-06,9.859563724511771e-12,1.408206228536121e-13,1,1,177
7,-0.025,-0.02,1,1,5.523366696859663e-05,0.04278911225106913,0.06041998705133858,89.99908289709212,0.0009229147001949211,4.688997391434013e-06,9.735146797164527e-12,1.2656960918981344e-13,1,1,177
7,0.0,-0.035,1,1,5.523366696859663e-05,0.04278911225106913,0.07000709348757951,90.00000543047337,5.915117333884394e-06,3.4307677737323973e-06,6.313598019267113e-12,6.574606748381903e-14,1,1,177
