candidate_index,episode,risk_offset_x_m,risk_offset_y_m,passed,settle_max_relative_drift_m,settle_max_relative_rotation_deg,settle_max_linear_speed_m_s,settle_max_angular_speed_rad_s,settle_full_window_finite,wait_max_relative_drift_m,wait_max_relative_rotation_deg,wait_max_relative_linear_speed_m_s,wait_max_relative_angular_speed_rad_s,wait_max_world_linear_speed_m_s,wait_max_world_angular_speed_rad_s,wait_max_anchor_excess_m,wait_full_window_finite,full_window_inside,full_window_support,forbidden_target_contact,forbidden_robot_contact,occupant_pixels_t0,occupant_pixels_policy_start,max_non_occupant_state_diff
0,0,-0.005,-0.005,1,2.5586237529490637e-12,5.399738656763835e-06,3.4232547820262885e-12,6.133035346401817e-14,1,1.0597504557633194e-06,0.0003363998180014897,1.979955452994643e-05,0.000125247783408709,0.48987374266903555,0.17499437107857593,8.657733065230967e-06,1,1,1,0,0,190,174,0.0
0,1,-0.005,-0.005,1,2.5584072528486426e-12,4.353408482428141e-06,3.4228699805168233e-12,6.579859174726354e-14,1,1.0602809651878312e-06,0.00033649947854317235,1.9810002027526305e-05,0.00012523856428793665,0.4898737426690331,0.17499435757799803,8.657734144751246e-06,1,1,1,0,0,191,178,0.0
0,2,-0.005,-0.005,1,2.5582200647744244e-12,4.676310850554341e-06,3.4226134049742103e-12,6.7636511678017e-14,1,1.0612666612360666e-06,0.0003366878863015709,1.9829471845180792e-05,0.00012523218142214155,0.4898737426690822,0.1749943363452803,8.657736176293134e-06,1,1,1,0,0,187,175,0.0
0,3,-0.005,-0.005,1,2.5583570365876468e-12,5.122641877509565e-06,3.422883216249284e-12,6.671876111137216e-14,1,1.0613154400167048e-06,0.00033669871113001,1.9830437410004418e-05,0.00012524352851421596,0.48987374266908307,0.1749943354318659,8.657736277871102e-06,1,1,1,0,0,177,185,0.0
0,4,-0.005,-0.005,1,2.5585629656193373e-12,5.7905745997743736e-06,3.4231977057296766e-12,6.131599861753965e-14,1,1.0616577411790887e-06,0.0003367874615994649,1.9837218923400895e-05,0.00012523643670215076,0.48987374266907285,0.174994329400235,8.657736993726808e-06,1,1,1,0,0,182,186,0.0
0,5,-0.005,-0.005,1,2.5583819481962335e-12,5.533085616490783e-06,3.4234279360204943e-12,8.383293663549274e-14,1,1.0622308485678812e-06,0.000336923788711824,1.984859649527936e-05,0.00012523218142214155,0.48987374266910455,0.17499432085539943,8.657738205715643e-06,1,1,1,0,0,188,183,0.0
0,6,-0.005,-0.005,1,2.558293095677035e-12,6.273929367455621e-06,3.422608280577943e-12,7.831988482699291e-14,1,1.0601160070442413e-06,0.000336451818488932,1.9806751183884616e-05,0.00012523076296334015,0.4898737426690382,0.17499436162594634,8.6577338081597e-06,1,1,1,0,0,184,181,0.0
0,7,-0.005,-0.005,1,2.558175591278629e-12,5.533085616490783e-06,3.42271891396538e-12,6.825971935178046e-14,1,1.0609916108436013e-06,0.00033660993726063523,1.9824031034244458e-05,0.0001252222518731116,0.48987374266905914,0.17499434174606818,8.657735605527746e-06,1,1,1,0,0,187,192,0.0
1,0,-0.01,0.0,1,2.4646507996094864e-12,0.0,3.297489547780723e-12,1.0998930358552999e-13,1,6.130448050491482e-07,0.0007346155419525695,1.3173450580435827e-05,0.0002595527356674636,0.48987538394256586,0.17505602056240518,8.665215159970867e-06,1,1,1,0,0,200,190,0.0
1,1,-0.01,0.0,1,2.4646512651557513e-12,6.156649318399953e-06,3.297806927145964e-12,1.0596994895228206e-13,1,6.130447979600428e-07,0.0007346185187258089,1.3173450448163657e-05,0.000259553420058053,0.4898753839427704,0.17505602056300643,8.66521516065693e-06,1,1,1,0,0,202,190,0.0
