candidate_index,episode,risk_offset_x_m,risk_offset_y_m,safe_candidate_index,safe_offset_x_m,safe_offset_y_m,passed,native_success,occupant_max_relative_drift_m,occupant_max_relative_rotation_deg,target_min_occupant_clearance_m,target_max_tilt_deg,target_max_linear_speed_m_s,target_max_angular_speed_rad_s,target_full_window_inside,target_full_window_support,target_full_window_finite,target_final_stable_streak
0,0,-0.005,-0.005,0,0.038891,0.038891,0,1,0.019867648797704453,9.884846269216245,0.06653216077430803,90.00081462970572,1.029343555621113e-11,1.566598825787644e-13,1,1,1,0
0,1,-0.005,-0.005,0,0.038891,0.038891,0,1,0.01986764879769892,9.88484626921528,0.06653216077434336,90.00081462970574,1.0293693137698568e-11,1.5708235421533668e-13,1,1,1,0
0,2,-0.005,-0.005,0,0.038891,0.038891,0,1,0.01986764879769408,9.884846269195789,0.06653216077431272,90.00081462970573,1.0294154907761428e-11,1.6144065148254766e-13,1,1,1,0
0,3,-0.005,-0.005,0,0.038891,0.038891,0,1,0.019867648797677277,9.88484626919342,0.06653216077440594,90.0008146297058,1.0294365627612973e-11,1.62403718587464e-13,1,1,1,0
0,4,-0.005,-0.005,0,0.038891,0.038891,0,1,0.01986764879770847,9.88484626920965,0.0665321607741435,90.00081462970572,1.0294263041125675e-11,1.6510748369073519e-13,1,1,1,0
0,5,-0.005,-0.005,0,0.038891,0.038891,0,1,0.01986764879769905,9.8848462692055,0.06653216077423513,90.00081462970577,1.0294030174477225e-11,1.5721649233907893e-13,1,1,1,0
0,6,-0.005,-0.005,0,0.038891,0.038891,0,1,0.019867648797706087,9.88484626921202,0.06653216077432364,90.0008146297057,1.0293666625679317e-11,1.6367305589214098e-13,1,1,1,0
0,7,-0.005,-0.005,0,0.038891,0.038891,0,1,0.019867648797720284,9.884846269214838,0.06653216077417902,90.00081462970577,1.0294964299364542e-11,1.7073165281206233e-13,1,1,1,0
0,0,-0.005,-0.005,1,0.055,0.0,0,1,0.027182419460565946,18.883615035048244,0.05249324279141364,90.00093354146124,9.693779219901231e-08,1.6033327946533996e-06,1,1,1,0
0,1,-0.005,-0.005,1,0.055,0.0,0,1,0.027182419460571,18.883614954622242,0.05249325113697885,90.00093354189039,9.693781885030411e-08,1.6033321249432909e-06,1,1,1,0
