candidate_index,episode,risk_offset_x_m,risk_offset_y_m,safe_candidate_index,safe_offset_x_m,safe_offset_y_m,passed,native_success,occupant_max_relative_drift_m,occupant_max_relative_rotation_deg,target_min_occupant_clearance_m,target_max_tilt_metric_deg,target_max_raw_body_tilt_deg,target_max_linear_speed_m_s,target_max_angular_speed_rad_s,target_full_window_inside,target_full_window_support,target_full_window_finite,target_final_stable_streak
0,0,0.0,0.025,0,0.0,-0.035,0,1,0.021447514432445365,17.30216928375341,0.05804215454997015,1.5427801820230895,89.99995770884897,8.91017025247499e-12,6.742834703222894e-14,1,1,1,15
0,1,0.0,0.025,0,0.0,-0.035,0,1,0.0214475144324028,17.302169283745755,0.058042154551779655,1.542780181634193,89.99995770884902,8.910378069904224e-12,7.003761761013861e-14,1,1,1,15
0,2,0.0,0.025,0,0.0,-0.035,0,1,0.021447514432440237,17.3021692837538,0.05804215454975519,1.5427801822083231,89.99995770884898,8.910373897632156e-12,6.689980798075623e-14,1,1,1,15
0,3,0.0,0.025,0,0.0,-0.035,0,1,0.02144751443286729,17.302169284054692,0.05804215454018138,1.5427801818449438,89.99995770884851,8.910889466483355e-12,7.674765048783531e-14,1,1,1,15
0,4,0.0,0.025,0,0.0,-0.035,0,1,0.021447514432549275,17.302169283818348,0.058042154549406394,1.5427801811148774,89.9999577088489,8.909911636905336e-12,6.773794319223324e-14,1,1,1,15
0,5,0.0,0.025,0,0.0,-0.035,0,1,0.02144751443253528,17.30216928383268,0.058042154549102665,1.5427801812344286,89.9999577088489,8.911680121006202e-12,8.431786207689033e-14,1,1,1,15
0,6,0.0,0.025,0,0.0,-0.035,0,1,0.021447514432147086,17.302169283595738,0.05804215455627213,1.5427801831935584,89.99995770884932,8.91016733666162e-12,6.806701473424932e-14,1,1,1,15
0,7,0.0,0.025,0,0.0,-0.035,0,1,0.02144751443227281,17.302169283649505,0.05804215455313868,1.5427801828958614,89.99995770884917,8.910652185840327e-12,7.622351275694031e-14,1,1,1,15
0,0,0.0,0.025,1,0.035,0.0,0,0,0.057471386736855284,48.40589101491675,6.621616644948987,74.49410549703246,89.99999765164884,1.0445577225955811e-15,3.425207551773623e-14,0,0,1,0
0,1,0.0,0.025,1,0.035,0.0,0,0,0.05747138673616461,48.40589101452671,6.621616644909383,74.49410549627571,89.99999765164887,1.0442594395779064e-15,3.425402158250845e-14,0,0,1,0
0,2,0.0,0.025,1,0.035,0.0,0,0,0.057471386736566626,48.40589101454625,6.621616644918251,74.49410549661772,89.99999765164885,1.0477479143332592e-15,3.418203827759955e-14,0,0,1,0
0,3,0.0,0.025,1,0.035,0.0,0,0,0.05747138673597123,48.40589101458894,6.621616644908582,74.49410549663061,89.99999765164893,1.0475619250914527e-15,3.4239396435943553e-14,0,0,1,0
0,4,0.0,0.025,1,0.035,0.0,0,0,0.05747138673742502,48.40589101494525,6.621616644956467,74.49410549730285,89.99999765164883,1.0462317347106095e-15,3.4277039259803214e-14,0,0,1,0
0,5,0.0,0.025,1,0.035,0.0,0,0,0.05747138673700133,48.40589101492353,6.621616644939707,74.49410549702594,89.99999765164887,1.119213937913164e-15,3.6497445058847403e-14,0,0,1,0
0,6,0.0,0.025,1,0.035,0.0,0,0,0.05747138673704835,48.405891014980675,6.621616644956269,74.49410549695526,89.99999765164885,1.0301443537884384e-15,3.359005612675562e-14,0,0,1,0
0,7,0.0,0.025,1,0.035,0.0,0,0,0.05747138673716953,48.40589101482997,6.621616644947627,74.4941054967619,89.99999765164891,8.321803126711068e-16,2.7919536024537412e-14,0,0,1,0
0,0,0.0,0.025,2,0.0,0.04,0,0,0.34690287248551965,59.29479002820588,17.010804078294065,89.99916423853075,0.0008382509489997679,4.903395916025032e-16,4.524122560062149e-15,0,0,1,0
0,1,0.0,0.025,2,0.0,0.04,0,0,0.34690287211903387,59.29479002481293,17.010804079016385,89.99916423853178,0.0008382509489997679,6.796627959799169e-16,5.401906062983031e-15,0,0,1,0
0,2,0.0,0.025,2,0.0,0.04,0,0,0.3469028714495677,59.29479000789221,17.01080407258575,89.99916423853237,0.0008382509489997679,6.384565303002352e-16,4.823878641712236e-15,0,0,1,0
