episode,attribution_eligible,safe_success,native_success,violated,eb_safe_success,eb_native_success,matched_control,release_detected,reason
task9_ep000.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=22.5deg>10.0deg)
task9_ep001.npz,1,1,1,0,1,1,1,1,
task9_ep002.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=15.4deg>10.0deg)
task9_ep003.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=10.1deg>10.0deg)
task9_ep004.npz,1,1,1,0,1,1,1,1,
